t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.4696,0.049,0.0005874719936400652,-1.33,0.3182,0
0.4706,0.049,0.0003101077163591981,-1.405,0.3182,0
0.4716,0.049,-7.377027941402048e-05,-1.473,0.3182,0
0.4726,0.044,-0.00045379166840575635,-1.505,0.3175,0
0.4736,0.044,-0.0008908042218536139,-1.517,0.3175,0
0.4746,0.044,-0.000907454639673233,-1.381,0.3175,0
0.4756,0.044,-0.0007653138600289822,-1.171,0.3175,0
0.4767,0.044,-0.0005921371630392969,-0.92,0.3175,0
0.4777,0.044,-0.00042238851892761886,-0.645,0.3175,0
0.4787,0.044,-0.00030136690475046635,-0.379,0.3175,0
0.4798,0.044,-0.00021070775983389467,-0.118,0.3175,0
0.4807,0.044,-0.00014508549065794796,0.132,0.3175,0
0.4817,0.044,-9.892953676171601e-05,0.373,0.3175,0
